央视,#genre#
CTV-1综合,http://www.96335.top:4566/udp/239.81.0.102:4056
CCTV-2财经,http://www.96335.top:4566/udp/239.81.0.115:4056
CCTV-3综艺,http://www.96335.top:4566/udp/239.81.0.231:4056
CCTV-4中文国际,http://www.96335.top:4566/udp/239.81.0.96:4056
CCTV-5体育,http://www.96335.top:4566/udp/239.81.0.232:4056
CCTV-5+体育赛事,http://www.96335.top:4566/udp/239.81.0.101:4056
CCTV-6电影,http://www.96335.top:4566/udp/239.81.0.233:4056
CCTV-7国防军事,http://www.96335.top:4566/udp/239.81.0.116:4056
CCTV-8电视剧,http://www.96335.top:4566/udp/239.81.0.234:4056
CCTV-9纪录,http://www.96335.top:4566/udp/239.81.0.117:4056
CCTV-10科教,http://www.96335.top:4566/udp/239.81.0.118:4056
CCTV-11戏曲,http://www.96335.top:4566/udp/239.81.0.229:4056
CCTV-12社会与法,http://www.96335.top:4566/udp/239.81.0.119:4056
CCTV-13新闻,http://www.96335.top:4566/udp/239.81.0.206:4056
CCTV-14少儿,http://www.96335.top:4566/udp/239.81.0.120:4056
CCTV-15音乐,http://www.96335.top:4566/udp/239.81.0.230:4056
CCTV-17农业农村,http://www.96335.top:4566/udp/239.81.0.228:4056
卫视,#genre#
东方卫视,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=dfws  
陕西卫视,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=sxws  
河南卫视,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=hnws  
江西卫视,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=jxws  
江苏卫视,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=jsws  
广东卫视,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=gdws  
大湾区卫视,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=dwqws  
东方影视,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=dfys  
上海新闻综合,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=shxwzh  
